Step,clouds01_test2016clouds01_oa,clouds10_test2016clouds10_oa,clouds25_test2016clouds25_oa,clouds50_test2016clouds50_oa,clouds80_test2016_oa,cloudsall_test2016clouds01_oa,cloudsall_test2016clouds10_oa,cloudsall_test2016clouds25_oa,cloudsall_test2016clouds50_oa,cloudsall_test2016_oa,clouds01_test2016clouds01_xe,clouds10_test2016clouds10_xe,clouds25_test2016clouds25_xe,clouds50_test2016clouds50_xe,clouds80_test2016_xe,cloudsall_test2016clouds01_xe,cloudsall_test2016clouds10_xe,cloudsall_test2016clouds25_xe,cloudsall_test2016clouds50_xe,cloudsall_test2016_xe
294976,0.90367603302,0.917887687683,0.915147344271,0.906425575415,0.883581181367,0.833745638529,0.872718691826,0.877458194892,0.868746459484,0.881946007411,0.379531790813,0.289025763671,0.330904136101,0.338611195485,0.432820190986,0.588043053945,0.487124512593,0.44054539005,0.50056190292,0.465437998374
299072,0.897835453351,0.915430823962,0.915246983369,0.899912496408,0.881670812766,0.851328392824,0.863057593505,0.906775832176,0.849277019501,0.868572453658,0.392326076825,0.295845816533,0.324759602547,0.349314898252,0.426168034474,0.568943858147,0.514793505271,0.353663573662,0.558604339759,0.531534055869
303168,0.882067819436,0.900976200898,0.922160545985,0.914454162121,0.882566829522,0.868395288785,0.857310533524,0.89901548624,0.870383997758,0.877734820048,0.418849527836,0.342576732238,0.301386108001,0.320271030068,0.424956818422,0.523056944211,0.539673139652,0.388797968626,0.469223727783,0.499641408523
307264,0.884198089441,0.905170698961,0.909978429476,0.924533426762,0.883869608243,0.865042070548,0.879668792089,0.893207232157,0.86736947298,0.884481708209,0.424972395102,0.331590682268,0.321059882641,0.274615580837,0.426235516866,0.534781455994,0.473097364108,0.40711787343,0.486097673575,0.472073167562
311360,0.886981010437,0.900737921397,0.904457986355,0.917483707269,0.873841861884,0.855497638385,0.904214859009,0.878813485305,0.89404374361,0.890350023905,0.409543037415,0.339086939891,0.326099445422,0.316774691145,0.452064037323,0.530080576738,0.393950641155,0.445183863242,0.414651980003,0.435325980186
315456,0.890599787235,0.915657917658,0.911905050278,0.897886753082,0.870687544346,0.854542672634,0.896092573802,0.88140741984,0.896810750167,0.874225099881,0.388246188561,0.297911842664,0.312608480453,0.364382843177,0.454114953677,0.538279732068,0.409996787707,0.441394527753,0.402479896943,0.484689305226
319552,0.896761695544,0.908172349135,0.907138864199,0.905453026295,0.866615176201,0.869147817294,0.90169074138,0.899571835995,0.909816503525,0.869360347589,0.366661270459,0.320756862561,0.34321368734,0.352733771006,0.467849075794,0.491616308689,0.38268806537,0.378989189863,0.355624159177,0.484892616669
323648,0.900953729947,0.911391099294,0.924122333527,0.917407949766,0.882544100285,0.851637860139,0.888830304146,0.902878642082,0.917961080869,0.872294525305,0.359939515591,0.322189112504,0.296097546816,0.315079033375,0.424660384655,0.541657050451,0.409999996424,0.367501278718,0.327780971924,0.457821031411
327744,0.897736827532,0.897365649541,0.900361478329,0.920716067155,0.871416111787,0.842898885409,0.880190193653,0.908764680227,0.918062249819,0.873943150043,0.367332150539,0.359595308701,0.349733561277,0.306399196386,0.463106592496,0.567050158978,0.454884847005,0.353037257989,0.339312752088,0.443897654613
331840,0.879229883353,0.894253532092,0.911494572957,0.909843703111,0.861946900686,0.830129345258,0.872427841028,0.882854878902,0.911472976208,0.863982538382,0.395743350188,0.393844525019,0.311405738195,0.337944140037,0.506004532178,0.570831805468,0.467615455389,0.436704436938,0.361478904883,0.538621395826
335936,0.871956805388,0.8907832702,0.900134344896,0.901758035024,0.861908932527,0.849773724874,0.875324626764,0.882898112138,0.906148254871,0.858989953995,0.408259600401,0.395228425662,0.351574649413,0.364999224742,0.506982276837,0.525184621414,0.47284056743,0.451546182235,0.380766322215,0.566216766834
340032,0.885542333126,0.909422973792,0.905832946301,0.915322621663,0.874736050765,0.850302239259,0.890960335732,0.887511014938,0.901104132334,0.86977014939,0.387411355972,0.354192068179,0.332516123851,0.350145339966,0.45752770702,0.502177645763,0.421036988497,0.417584190766,0.380659570297,0.549846172333
344128,0.91153528293,0.929589907328,0.90229288737,0.926728149255,0.890774607658,0.842740058899,0.897284646829,0.903691093127,0.900265256564,0.87177135547,0.325405627489,0.290605793397,0.341794778903,0.310478185614,0.401917229096,0.557898481687,0.427993009488,0.37160457174,0.394902298848,0.486243764559
348224,0.904274761677,0.931308786074,0.919971744219,0.917227745056,0.858484009902,0.845543046792,0.890513896942,0.899933556716,0.897821148237,0.857278227806,0.364554981391,0.289727350076,0.289974406362,0.305976803104,0.506110151609,0.558161516984,0.448507229487,0.403369128704,0.383426735799,0.512685288986
352320,0.899256706238,0.922683556875,0.935374756654,0.902939418952,0.867726544539,0.844068388144,0.884881754716,0.903601288795,0.889949679375,0.854762792587,0.376722186804,0.318510472775,0.258338992794,0.329193944732,0.487803588311,0.576121489207,0.463030715783,0.408252288898,0.415505150954,0.514802157879
